"lab_number","order_id","trial_number","fribble_set","fractal_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","time_order_index","stimulus_type_order","familiar_role","location_order","familiar_stimulus","novel_stimulus","familiar_stimulus_item","novel_stimulus_item","complexity_condition","familiarization_time","familiar_stimulus_path","novel_stimulus_path","familiar_location_1","familiar_location_2","left_image_path_1","right_image_path_1","left_image_path_2","right_image_path_2","test_time_1","test_time_2","familiarization_time_timeout"
42,660,1,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","Pumpkin_Complex","SimsDiamond_Complex","Pumpkin","SimsDiamond","complex",10,"stimuli/images//Pumpkin_Complex.png","stimuli/images//SimsDiamond_Complex.png","right","left","stimuli/images//SimsDiamond_Complex.png","stimuli/images//Pumpkin_Complex.png","stimuli/images//Pumpkin_Complex.png","stimuli/images//SimsDiamond_Complex.png",5,5,20
42,660,2,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","Gumdrop_Simple","Pyramid_Simple","Gumdrop","Pyramid","simple",5,"stimuli/images//Gumdrop_Simple.png","stimuli/images//Pyramid_Simple.png","right","left","stimuli/images//Pyramid_Simple.png","stimuli/images//Gumdrop_Simple.png","stimuli/images//Gumdrop_Simple.png","stimuli/images//Pyramid_Simple.png",5,5,10
42,660,3,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","Diamond_Simple","Crinkle_Simple","Diamond","Crinkle","simple",15,"stimuli/images//Diamond_Simple.png","stimuli/images//Crinkle_Simple.png","left","right","stimuli/images//Diamond_Simple.png","stimuli/images//Crinkle_Simple.png","stimuli/images//Crinkle_Simple.png","stimuli/images//Diamond_Simple.png",5,5,30
42,660,4,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","Bowl_Complex","Tripod_Complex","Bowl","Tripod","complex",5,"stimuli/images//Bowl_Complex.png","stimuli/images//Tripod_Complex.png","left","right","stimuli/images//Bowl_Complex.png","stimuli/images//Tripod_Complex.png","stimuli/images//Tripod_Complex.png","stimuli/images//Bowl_Complex.png",5,5,10
42,660,5,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","Arrow_Complex","Bowtie_Complex","Arrow","Bowtie","complex",15,"stimuli/images//Arrow_Complex.png","stimuli/images//Bowtie_Complex.png","right","left","stimuli/images//Bowtie_Complex.png","stimuli/images//Arrow_Complex.png","stimuli/images//Arrow_Complex.png","stimuli/images//Bowtie_Complex.png",5,5,30
42,660,6,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","Cylinder_Simple","Pacman_Simple","Cylinder","Pacman","simple",10,"stimuli/images//Cylinder_Simple.png","stimuli/images//Pacman_Simple.png","left","right","stimuli/images//Cylinder_Simple.png","stimuli/images//Pacman_Simple.png","stimuli/images//Pacman_Simple.png","stimuli/images//Cylinder_Simple.png",5,5,20
42,660,7,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","fractal_simple_pair6_b_bright","fractal_simple_pair6_a_bright","pair6_b","pair6_a","simple",5,"stimuli/images//fractal_simple_pair6_b_bright.png","stimuli/images//fractal_simple_pair6_a_bright.png","right","left","stimuli/images//fractal_simple_pair6_a_bright.png","stimuli/images//fractal_simple_pair6_b_bright.png","stimuli/images//fractal_simple_pair6_b_bright.png","stimuli/images//fractal_simple_pair6_a_bright.png",5,5,10
42,660,8,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","fractal_complex_pair5_b_bright","fractal_complex_pair5_a_bright","pair5_b","pair5_a","complex",15,"stimuli/images//fractal_complex_pair5_b_bright.png","stimuli/images//fractal_complex_pair5_a_bright.png","left","right","stimuli/images//fractal_complex_pair5_b_bright.png","stimuli/images//fractal_complex_pair5_a_bright.png","stimuli/images//fractal_complex_pair5_a_bright.png","stimuli/images//fractal_complex_pair5_b_bright.png",5,5,30
42,660,9,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","fractal_simple_pair4_b_bright","fractal_simple_pair4_a_bright","pair4_b","pair4_a","simple",10,"stimuli/images//fractal_simple_pair4_b_bright.png","stimuli/images//fractal_simple_pair4_a_bright.png","left","right","stimuli/images//fractal_simple_pair4_b_bright.png","stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png",5,5,20
42,660,10,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","fractal_complex_pair3_b_bright","fractal_complex_pair3_a_bright","pair3_b","pair3_a","complex",10,"stimuli/images//fractal_complex_pair3_b_bright.png","stimuli/images//fractal_complex_pair3_a_bright.png","right","left","stimuli/images//fractal_complex_pair3_a_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","stimuli/images//fractal_complex_pair3_a_bright.png",5,5,20
42,660,11,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","fractal_complex_pair2_b_bright","fractal_complex_pair2_a_bright","pair2_b","pair2_a","complex",15,"stimuli/images//fractal_complex_pair2_b_bright.png","stimuli/images//fractal_complex_pair2_a_bright.png","right","left","stimuli/images//fractal_complex_pair2_a_bright.png","stimuli/images//fractal_complex_pair2_b_bright.png","stimuli/images//fractal_complex_pair2_b_bright.png","stimuli/images//fractal_complex_pair2_a_bright.png",5,5,30
42,660,12,"set_2","set_1","order_1","base_block","rev",3,1,"fractal_first",1,"loc_order_1","fractal_simple_pair1_b_bright","fractal_simple_pair1_a_bright","pair1_b","pair1_a","simple",5,"stimuli/images//fractal_simple_pair1_b_bright.png","stimuli/images//fractal_simple_pair1_a_bright.png","left","right","stimuli/images//fractal_simple_pair1_b_bright.png","stimuli/images//fractal_simple_pair1_a_bright.png","stimuli/images//fractal_simple_pair1_a_bright.png","stimuli/images//fractal_simple_pair1_b_bright.png",5,5,10
