"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
1,1,"set_1","order_1","base_block","base",1,"fribble_first",0,"loc_order_1",1,"order_001.csv"
2,1,"set_1","order_1","base_block","base",1,"fractal_first",0,"loc_order_1",1,"order_002.csv"
3,1,"set_1","order_1","base_block","base",1,"fribble_first",1,"loc_order_1",1,"order_003.csv"
4,1,"set_1","order_1","base_block","base",1,"fractal_first",1,"loc_order_1",1,"order_004.csv"
5,1,"set_1","order_1","base_block","base",1,"fribble_first",0,"loc_order_2",1,"order_005.csv"
6,1,"set_1","order_1","base_block","base",1,"fractal_first",0,"loc_order_2",1,"order_006.csv"
7,1,"set_1","order_1","base_block","base",1,"fribble_first",1,"loc_order_2",1,"order_007.csv"
8,1,"set_1","order_1","base_block","base",1,"fractal_first",1,"loc_order_2",1,"order_008.csv"
9,1,"set_1","order_1","base_block","base",1,"fribble_first",0,"loc_order_1",2,"order_009.csv"
10,1,"set_1","order_1","base_block","base",1,"fractal_first",0,"loc_order_1",2,"order_010.csv"
11,1,"set_1","order_1","base_block","base",1,"fribble_first",1,"loc_order_1",2,"order_011.csv"
12,1,"set_1","order_1","base_block","base",1,"fractal_first",1,"loc_order_1",2,"order_012.csv"
13,1,"set_1","order_1","base_block","base",1,"fribble_first",0,"loc_order_2",2,"order_013.csv"
14,1,"set_1","order_1","base_block","base",1,"fractal_first",0,"loc_order_2",2,"order_014.csv"
15,1,"set_1","order_1","base_block","base",1,"fribble_first",1,"loc_order_2",2,"order_015.csv"
16,1,"set_1","order_1","base_block","base",1,"fractal_first",1,"loc_order_2",2,"order_016.csv"
